device = mps
train samples = 156965
dev samples = 73152
trainable params = 4,484,929
loss type = listnet_top
lr scheduler = ReduceLROnPlateau(mode=min, factor=0.5, patience=1, min_lr=1e-06)
wandb run name = listnet-balanced-0405-0104
[epoch 6] step 16800 train_loss=nan
[epoch 6] step 17000 train_loss=nan
[epoch 6] step 17200 train_loss=nan
[epoch 6] step 17400 train_loss=nan
[epoch 6] step 17600 train_loss=nan
[epoch 6] step 17800 train_loss=nan
[epoch 6] step 18000 train_loss=nan
[epoch 6] step 18200 train_loss=nan
[epoch 6] step 18400 train_loss=nan
[epoch 6] step 18600 train_loss=nan
[epoch 6] step 18800 train_loss=nan
[epoch 6] step 19000 train_loss=nan
[epoch 6] step 19200 train_loss=nan
[epoch 6] step 19400 train_loss=nan
[epoch 6] step 19600 train_loss=nan
[epoch 6] step 19621 train_loss=nan
[epoch 6] train_loss=nan dev_loss=nan AUC=0.6477 MRR=0.3519 nDCG@5=0.3317 nDCG@10=0.3972 BrierScore=0.0406 Recall@10=0.6588 selection_score=0.1986
[epoch 6] lr=6.25e-05
early stopping monitor: 4/10 epochs without selection_score improvement > 0.0010
[epoch 7] step 200 train_loss=nan
[epoch 7] step 400 train_loss=nan
[epoch 7] step 600 train_loss=nan
[epoch 7] step 800 train_loss=nan
[epoch 7] step 1000 train_loss=nan
[epoch 7] step 1200 train_loss=nan
[epoch 7] step 1400 train_loss=nan
[epoch 7] step 1600 train_loss=nan
[epoch 7] step 1800 train_loss=nan
[epoch 7] step 2000 train_loss=nan
[epoch 7] step 2200 train_loss=nan
[epoch 7] step 2400 train_loss=nan
[epoch 7] step 2600 train_loss=nan
[epoch 7] step 2800 train_loss=nan
[epoch 7] step 3000 train_loss=nan
[epoch 7] step 3200 train_loss=nan
[epoch 7] step 3400 train_loss=nan
[epoch 7] step 3600 train_loss=nan
[epoch 7] step 3800 train_loss=nan
[epoch 7] step 4000 train_loss=nan
[epoch 7] step 4200 train_loss=nan
[epoch 7] step 4400 train_loss=nan
[epoch 7] step 4600 train_loss=nan
[epoch 7] step 4800 train_loss=nan
[epoch 7] step 5000 train_loss=nan
[epoch 7] step 5200 train_loss=nan
[epoch 7] step 5400 train_loss=nan
[epoch 7] step 5600 train_loss=nan
[epoch 7] step 5800 train_loss=nan
[epoch 7] step 6000 train_loss=nan
